Nombre,Ciudad_Banco,Codigo_Ciudad_Banco
Thayne,MILANO,IT
Kennedy,BUCURESTI,RO
Niki,ST. PAUL,US
Corny,VANDALIA,US
Dom,OMAHA,US
May,Paderborn,DE
Tamar,CORTEZ,US
Gratiana,LAKEWOOD,US
Cora,Kassel,DE
Anetta,"Rhede, Westf.",DE
Reese,RYE,US
Lacie,MUNSTER,US
Viviene,Frankfurt am Main,DE
Ode,Antwerpen,BE
Kellby,WILLMAR,US
Annmaria,PINE BLUFF,US
Finley,CINCINNATI,US
Codie,Kuchl,AT
Bernete,MOENA,IT
Symon,MILANO,IT
Lucho,Brussel,BE
Merci,Klagenfurt am Wörthersee,AT
Roseanne,MILANO,IT
Charlean,Peuerbach,AT
Kristien,"Bidingen, Schwaben",DE
Foster,"Leezen, Holstein",DE
Evaleen,MILANO,IT
Drusy,LOS ANGELES,US
Gasparo,ALHAMBRA,US
Hazel,OLYMPIA,US
Bellanca,LAKEWOOD,US
Ediva,TUPELO,US
Ameline,MILANO,IT
Caty,Sint-Jans-Molenbeek,BE
Noah,ST. PAUL,US
Thornton,PORTLAND,US
Frances,Braunschweig,DE
Giorgia,TUPELO,US
Isaac,BURLINGTON,US
Nerty,Šiaulių m. sav. Šiaulių m.,LT
Redford,MERCERSBURG,US
Jeanette,NEW ORLEANS,US
Robinetta,MINNEAPOLIS,US
Beck,SEYMOUR,US
Lenora,Leutkirch im Allgäu,DE
Gayleen,RICHMOND,US
Katherina,CHICAGO,US
Sarine,Hausmannstätten,AT
Frasier,QUINTON,US
Frances,DIJON CEDEX,FR
Hodge,PORTLAND,US
Min,JASPER,US
Bonny,NAPERVILLE,US
Drusi,TORINO,IT
Davy,Westoverledingen,DE
Trueman,PITTSBURGH,US
Krystyna,Wiesbaden,DE
Kamilah,CHANUTE,US
Briana,JACKSON,US
Northrup,Kitzingen,DE
Mufinella,DIJON,FR
Edvard,ALEXANDRIA,US
Nevil,TORINO,IT
Tammy,EDGEWOOD,US
Dita,Belsk Duży,PL
Boot,MILANO,IT
Nestor,Madrid,ES
Yuri,Zwettl,AT
Friedrick,MOENA,IT
Glenine,Kaiserslautern,DE
Alexandrina,NEW ORLEANS,US
Joelie,BIRMINGHAM,US
Laure,ST. PAUL,US
Niel,Mittersill,AT
Alphonse,CLEVELAND,US
Bord,TAMPA,US
Giffard,CORNELLA DE LLOBREGAT,ES
Elwira,CHANTILLY,US
Vanya,DURANGO,US
Willy,PARIS 13,FR
Aigneis,BUFFALO,US
Kerry,BIRMINGHAM,US
Cammy,TUCUMCARI,US
Leyla,PIEDMONT,US
Addi,Amstetten,AT
Peter,FERMO,IT
Raine,CHAS,US
Adi,WAGONER,US
Mariel,BIELLA,IT
